

							TABLEAU DE BORD CARREFOUR:



V:Vehicule
DA: Date d'arrivée
DFP:Date de fin de passage
TS:Temps de service
LF:Longueur file


 V           DA            DFP             TS		  V           DA           DFP           TS		 LF1     LF2



 Route1	 		                               Route2	 

 36(R) 	 8h 6m 21s 	  8h 7m 2s  	 0h 0m 40s  	 36(R) 	 8h 7m 39s	  8h 7m 59s  	 0h 0m 19s  	 3 	 7 
 37(R) 	 8h 6m 26s 	  8h 7m 4s  	 0h 0m 37s  	 37(V) 	 8h 7m 53s	  8h 8m 11s  	 0h 0m 18s  	 4 	 2 
 38(R) 	 8h 6m 31s 	  8h 7m 6s  	 0h 0m 35s  	 38(V) 	 8h 7m 58s	  8h 8m 21s  	 0h 0m 22s  	 5 	 2 
 39(R) 	 8h 6m 33s 	  8h 7m 9s  	 0h 0m 36s  	 39(V) 	 8h 8m 4s	  8h 8m 25s  	 0h 0m 20s  	 6 	 2 
 40(R) 	 8h 6m 33s 	  8h 7m 13s  	 0h 0m 39s  	 40(V) 	 8h 8m 8s	  8h 9m 18s  	 0h 1m 9s  	 7 	 3 
 41(R) 	 8h 6m 36s 	  8h 7m 17s  	 0h 0m 40s  	 41(R) 	 8h 8m 44s	  8h 9m 18s  	 0h 0m 34s  	 8 	 1 
 42(R) 	 8h 6m 38s 	  8h 7m 21s  	 0h 0m 43s  	 42(R) 	 8h 8m 51s	  8h 9m 19s  	 0h 0m 27s  	 9 	 2 
 43(R) 	 8h 6m 58s 	  8h 7m 26s  	 0h 0m 27s  	 43(R) 	 8h 8m 52s	  8h 9m 21s  	 0h 0m 28s  	 10 	 3 
 44(O) 	 8h 7m 42s 	  8h 7m 42s  	 0h 0m 0s  	 44(R) 	 8h 9m 17s	  8h 9m 23s  	 0h 0m 5s  	 0 	 4 
 45(R) 	 8h 8m 11s 	  8h 8m 32s  	 0h 0m 20s  	 45(V) 	 8h 9m 32s	  8h 9m 39s  	 0h 0m 7s  	 0 	 0 
 46(R) 	 8h 8m 13s 	  8h 8m 32s  	 0h 0m 19s  	 46(V) 	 8h 9m 33s	  8h 9m 44s  	 0h 0m 10s  	 1 	 1 
 47(V) 	 8h 8m 32s 	  8h 8m 33s  	 0h 0m 1s  	 47(V) 	 8h 9m 49s	  8h 9m 58s  	 0h 0m 8s  	 1 	 0 
 48(V) 	 8h 8m 45s 	  8h 8m 48s  	 0h 0m 3s  	 48(V) 	 8h 9m 54s	  8h 10m 51s  	 0h 0m 56s  	 0 	 1 
 49(V) 	 8h 8m 58s 	  8h 9m 3s  	 0h 0m 5s  	 49(O) 	 8h 10m 0s	  8h 10m 51s  	 0h 0m 51s  	 0 	 1 
 50(V) 	 8h 9m 2s 	  8h 9m 9s  	 0h 0m 7s  	 50(O) 	 8h 10m 0s	  8h 10m 52s  	 0h 0m 52s  	 1 	 2 
 51(V) 	 8h 9m 2s 	  8h 9m 12s  	 0h 0m 9s  	 51(R) 	 8h 10m 27s	  8h 10m 54s  	 0h 0m 26s  	 2 	 3 
 52(O) 	 8h 9m 16s 	  8h 10m 5s  	 0h 0m 48s  	 52(R) 	 8h 10m 29s	  8h 10m 56s  	 0h 0m 26s  	 0 	 4 
 53(R) 	 8h 9m 20s 	  8h 10m 5s  	 0h 0m 45s  	 53(R) 	 8h 10m 31s	  8h 10m 58s  	 0h 0m 27s  	 1 	 5 
 54(R) 	 8h 9m 39s 	  8h 10m 6s  	 0h 0m 26s  	 54(R) 	 8h 10m 31s	  8h 11m 1s  	 0h 0m 29s  	 2 	 6 
 55(R) 	 8h 9m 42s 	  8h 10m 8s  	 0h 0m 25s  	 55(R) 	 8h 10m 42s	  8h 11m 5s  	 0h 0m 22s  	 3 	 7 
 56(R) 	 8h 10m 2s 	  8h 10m 10s  	 0h 0m 7s  	 56(V) 	 8h 10m 52s	  8h 11m 10s  	 0h 0m 18s  	 4 	 6 
 57(V) 	 8h 10m 11s 	  8h 10m 19s  	 0h 0m 7s  	 57(V) 	 8h 10m 54s	  8h 11m 16s  	 0h 0m 22s  	 0 	 5 
 58(V) 	 8h 10m 15s 	  8h 10m 25s  	 0h 0m 10s  	 58(V) 	 8h 10m 56s	  8h 11m 24s  	 0h 0m 27s  	 1 	 5 
 59(V) 	 8h 10m 17s 	  8h 10m 31s  	 0h 0m 14s  	 59(V) 	 8h 10m 58s	  8h 11m 31s  	 0h 0m 32s  	 2 	 6 
 60(V) 	 8h 10m 30s 	  8h 10m 45s  	 0h 0m 14s  	 60(V) 	 8h 11m 15s	  8h 12m 24s  	 0h 1m 8s  	 1 	 3 
 61(R) 	 8h 10m 53s 	  8h 11m 38s  	 0h 0m 44s  	 61(V) 	 8h 11m 25s	  8h 12m 24s  	 0h 0m 58s  	 0 	 2 
 62(R) 	 8h 11m 0s 	  8h 11m 38s  	 0h 0m 38s  	 62(R) 	 8h 11m 40s	  8h 12m 25s  	 0h 0m 44s  	 1 	 2 
 63(R) 	 8h 11m 2s 	  8h 11m 39s  	 0h 0m 37s  	 63(R) 	 8h 11m 51s	  8h 12m 27s  	 0h 0m 35s  	 2 	 3 
 64(R) 	 8h 11m 16s 	  8h 11m 41s  	 0h 0m 24s  	 64(R) 	 8h 11m 55s	  8h 12m 29s  	 0h 0m 33s  	 3 	 4 
 65(R) 	 8h 11m 31s 	  8h 11m 43s  	 0h 0m 11s  	 65(R) 	 8h 11m 57s	  8h 12m 31s  	 0h 0m 34s  	 4 	 5 
 66(V) 	 8h 11m 41s 	  8h 11m 48s  	 0h 0m 7s  	 66(R) 	 8h 12m 3s	  8h 12m 34s  	 0h 0m 31s  	 1 	 6 
 67(V) 	 8h 11m 45s 	  8h 11m 56s  	 0h 0m 10s  	 67(R) 	 8h 12m 7s	  8h 12m 38s  	 0h 0m 30s  	 1 	 7 
 68(V) 	 8h 11m 46s 	  8h 12m 0s  	 0h 0m 14s  	 68(R) 	 8h 12m 16s	  8h 12m 42s  	 0h 0m 25s  	 2 	 8 
 69(V) 	 8h 11m 46s 	  8h 12m 4s  	 0h 0m 18s  	 69(R) 	 8h 12m 21s	  8h 12m 46s  	 0h 0m 25s  	 3 	 9 
 70(V) 	 8h 11m 51s 	  8h 12m 14s  	 0h 0m 22s  	 70(R) 	 8h 12m 21s	  8h 12m 51s  	 0h 0m 30s  	 3 	 10 
 71(V) 	 8h 11m 56s 	  8h 12m 18s  	 0h 0m 21s  	 71(R) 	 8h 12m 21s	  8h 12m 57s  	 0h 0m 35s  	 3 	 11 
 72(V) 	 8h 12m 1s 	  8h 13m 11s  	 0h 1m 9s  	 72(V) 	 8h 12m 46s	  8h 13m 4s  	 0h 0m 17s  	 3 	 3 
 73(V) 	 8h 12m 7s 	  8h 13m 11s  	 0h 1m 3s  	 73(V) 	 8h 12m 53s	  8h 13m 57s  	 0h 1m 3s  	 3 	 2 
 74(V) 	 8h 12m 14s 	  8h 13m 12s  	 0h 0m 58s  	 74(V) 	 8h 12m 56s	  8h 13m 57s  	 0h 1m 0s  	 4 	 3 
 75(O) 	 8h 12m 18s 	  8h 13m 14s  	 0h 0m 55s  	 75(R) 	 8h 13m 10s	  8h 13m 58s  	 0h 0m 47s  	 3 	 2 
 76(R) 	 8h 12m 41s 	  8h 13m 16s  	 0h 0m 34s  	 76(R) 	 8h 13m 18s	  8h 14m 0s  	 0h 0m 41s  	 4 	 3 
 77(R) 	 8h 12m 53s 	  8h 13m 18s  	 0h 0m 25s  	 77(R) 	 8h 13m 27s	  8h 14m 2s  	 0h 0m 34s  	 5 	 4 
 78(R) 	 8h 12m 56s 	  8h 13m 21s  	 0h 0m 24s  	 78(R) 	 8h 13m 45s	  8h 14m 4s  	 0h 0m 18s  	 6 	 5 
 79(V) 	 8h 13m 11s 	  8h 13m 25s  	 0h 0m 14s  	 79(R) 	 8h 13m 50s	  8h 14m 7s  	 0h 0m 17s  	 6 	 6 
